,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
150,150,2.0,1.0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,2.0,15,1.0,1
151,151,1.0,1.0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,4.0,15,1.0,1
152,152,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2.0,15,1.0,1
153,153,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,15,2.0,1
154,154,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,15,1.0,0
155,155,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3.0,15,2.0,1
156,156,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,15,2.0,1
157,157,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.0,15,2.0,0
158,158,1.0,2.0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,6.0,15,1.0,0
159,159,1.0,3.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,6.0,15,1.0,1
160,160,2.0,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5.0,15,2.0,1
161,161,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,15,2.0,1
162,162,4.0,2.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6.0,15,1.0,1
163,163,4.0,2.0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2.0,15,1.0,1
164,164,1.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,7,1.0,1
165,165,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,15,1.0,1
166,166,2.0,2.0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,3.0,15,1.0,1
167,167,2.0,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,6.0,15,2.0,1
168,168,2.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,7,1.0,1
169,169,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,15,1.0,0
170,170,1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.0,15,1.0,1
171,171,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,7,1.0,1
172,172,2.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,6.0,15,1.0,1
173,173,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3.0,15,1.0,1
174,174,3.0,1.0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1.0,7,2.0,1
175,175,1.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2.0,15,1.0,1
176,176,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,7,2.0,1
177,177,4.0,1.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,7.0,15,1.0,1
178,178,2.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.0,15,2.0,1
179,179,1.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6.0,7,2.0,1
180,180,1.0,2.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3.0,15,1.0,1
