,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11897,2.0,1.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3.0,0,2.0,1
11898,4.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.0,0,2.0,1
11899,4.0,1.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,4.0,0,1.0,1
11900,4.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1.0,1
11901,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.0,0,1.0,1
11902,2.0,1.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,5.0,0,1.0,1
11903,4.0,2.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,0,1.0,1
11904,4.0,2.0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,6.0,0,1.0,1
11905,4.0,2.0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,5.0,0,1.0,0
11906,4.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11907,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11908,3.0,2.0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11909,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11910,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11911,4.0,2.0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11912,1.0,2.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0,2.0,1
11913,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11914,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11915,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11916,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11917,4.0,2.0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,5.0,0,2.0,1
11918,1.0,5.0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,4.0,0,2.0,1
11919,4.0,2.0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,2.0,0,1.0,1
11920,4.0,1.0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,2.0,0,2.0,1
11921,2.0,5.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2.0,0,2.0,1
11922,4.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4.0,0,1.0,1
11923,4.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,4.0,0,1.0,1
11924,4.0,1.0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,4.0,0,2.0,0
11925,1.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11926,1.0,1.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4.0,0,2.0,1
11927,1.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0,1.0,1
11928,3.0,5.0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2.0,0,2.0,1
11929,1.0,1.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.0,0,2.0,1
11930,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.0,0,2.0,0
11931,4.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11932,4.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,3.0,0,1.0,1
11933,1.0,3.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2.0,0,2.0,1
11934,3.0,1.0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,4.0,0,2.0,1
11935,2.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,4.0,0,1.0,1
11936,4.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,0,2.0,1
11937,2.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5.0,0,1.0,1
11938,1.0,3.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,0
11939,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11940,2.0,1.0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,4.0,0,1.0,1
11941,1.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11942,2.0,5.0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1.0,0,2.0,1
11943,2.0,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1.0,0,2.0,1
11944,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4.0,0,2.0,1
11945,1.0,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,3.0,0,2.0,0
