,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
1150,4.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0,2.0,4.0,1,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,1.0
1151,4.0,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,0,1.0,4.0,1,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,1.0
1152,2.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1.0,6.0,1,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0
1153,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3.0,1,1.0,1.0,1,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0
1154,4.0,2.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,41.0
1155,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5.0,1,2.0,5.0,1,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0
1156,4.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1.0,3.0,1,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,14.0
1157,,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4.0,1,1.0,2.0,1,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0
1158,2.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2.0,0,2.0,1.0,1,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,80.0
1159,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0
1160,4.0,2.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,4.0,1,1.0,6.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,603.0
1161,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0,2.0,5.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0
1162,,2.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0,1,1.0,3.0,1,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,61.0
1163,,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,4.0,1,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,83.0
1164,,2.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2.0,0,1.0,4.0,1,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0
