,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
236,1.0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,7,1,1
237,1.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,15,2,0
238,4.0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,18,2,1
239,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,1
240,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,18,2,1
241,2.0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,4,7,2,1
242,3.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,18,2,1
243,4.0,2,1,1,1,1,0,1,0,0,0,0,0,0,1,0,6,7,2,1
244,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,7,1,1
245,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,7,1,0
246,2.0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,7,2,1
247,1.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,7,2,1
248,2.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,7,2,0
249,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,7,2,1
250,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,7,2,1
251,4.0,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,3,7,2,1
252,3.0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,2,7,2,1
253,4.0,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,3,7,1,1
254,2.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,7,2,1
255,2.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,4,18,1,1
256,4.0,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,3,7,2,1
257,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,7,1,1
258,2.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5,7,1,0
259,2.0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2,18,2,1
260,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,7,1,1
261,2.0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,2,7,1,1
262,4.0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,18,2,1
263,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1
264,2.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,6,18,2,1
265,1.0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,2,7,2,1
266,1.0,3,1,1,1,0,1,1,0,0,1,0,0,1,0,1,5,7,2,1
267,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,4,7,1,1
268,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,7,2,1
269,4.0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,7,1,1
270,2.0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,2,7,1,1
271,3.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,2,18,1,1
272,3.0,2,0,1,1,0,1,1,0,0,1,0,1,0,0,1,2,7,1,1
273,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,7,1,1
274,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,18,2,1
275,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,18,1,1
276,2.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,7,2,1
277,2.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,7,1,1
278,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,18,2,1
279,2.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,18,1,1
280,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,15,1,1
281,2.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,5,7,2,1
282,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,7,2,0
283,4.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,18,1,1
284,5.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,18,1,1
285,2.0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2,7,2,1
286,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,3,18,1,1
287,4.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,18,2,1
288,2.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,2,7,2,1
289,4.0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3,18,1,1
290,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,18,2,1
291,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,7,2,1
292,4.0,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,3,18,2,1
293,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,18,1,0
294,2.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,18,1,1
295,3.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,7,2,1
296,2.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,18,2,1
297,3.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,18,2,1
298,5.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4,7,1,1
299,3.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,2,18,1,1
300,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,18,1,1
301,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,18,2,1
302,1.0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,7,1,1
303,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,18,2,1
304,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,7,1,1
305,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,18,2,1
306,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,7,2,0
